# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Sep 26 20:00:59 2025
#
# User ID:         holographic.sol
#
# User preference: archive defaults
#
# COLUMN star_name:      Star Name
# COLUMN hip_name:       HIP Name
# COLUMN hd_name:        HD Name
# COLUMN gj_name:        GJ Name
# COLUMN tm_name:        2MASS Name
# COLUMN st_exocatflag:  ExoCat List Flag
# COLUMN st_coronagflag: Exo-C List Flag
# COLUMN st_starshadeflag: Exo-S List Flag
# COLUMN st_wfirstflag:  WFIRST List Flag
# COLUMN st_lbtiflag:    LBTI List Flag
# COLUMN st_rvflag:      Known RV Data
# COLUMN st_ppnum:       Number of Planets in System
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_vmag:        V-band [mag]
# COLUMN st_vmagerr:     V-band Unc. [mag]
# COLUMN st_vmagsrc:     V-band Source
# COLUMN st_bmv:         B-V [mag]
# COLUMN st_bmverr:      B-V Unc. [mag]
# COLUMN st_bmvsrc:      B-V Source
# COLUMN st_spttype:     Spectral Type
# COLUMN st_lbol:        Stellar Bolometric Luminosity [Solar]
# COLUMN st_lbolerr:     Stellar Bolometric Luminosity Unc. [Solar]
# COLUMN st_lbolsrc:     Stellar Bolometric Luminosity Source
# COLUMN wds_designation: WDS Designation
# COLUMN wds_sep:        WDS Angular Separation [arcsec]
# COLUMN wds_deltamag:   WDS Magnitude Difference [mag]
# COLUMN st_fracplxunc:  Fractional Parallax Uncertainty
# COLUMN st_pmra:        Proper Motion (RA) [mas/yr]
# COLUMN st_pmraerr:     Proper Motion (RA) Unc. [mas/yr]
# COLUMN st_pmdec:       Proper Motion (Dec) [mas/yr]
# COLUMN st_pmdecerr:    Proper Motion (Dec) Unc. [mas/yr]
# COLUMN st_glon:        Galactic Longitude [deg]
# COLUMN st_glat:        Galactic Latitude [deg]
# COLUMN st_vmk:         V-K [mag]
# COLUMN st_vmkerr:      V-K Unc. [mag]
# COLUMN st_kmagsrc:     K-band Source
# COLUMN st_mbol:        Bolometric Magnitude [mag]
# COLUMN st_mbolerr:     Bolometric Magnitude Unc. [mag]
# COLUMN st_mbolsrc:     Bolometric Magnitude Source
# COLUMN st_mbolflag:    Bolometric Magnitude Contamination Flag
# COLUMN st_spttag:      Spectral Type Tag
# COLUMN st_lumclass:    Luminosity Class
# COLUMN st_eeidau:      Earth-Equivalent Insolation Distance [au]
# COLUMN st_eeidauerr:   Earth-Equivalent Insolation Distance Unc. [au]
# COLUMN st_eeidmas:     Earth-Equivalent Insolation Distance [mas]
# COLUMN st_eeidmaserr:  Earth-Equivalent Insolation Distance Unc. [mas]
# COLUMN st_fpbearth:    Fractional Planet Brightness
# COLUMN st_fpbeartherr: Fractional Planet Brightness Unc.
# COLUMN st_vmagearth:   Earth-Equivalent V-band Magnitude [mag]
# COLUMN st_vmageartherr: Earth-Equivalent V-band Magnitude Unc. [mag]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr:     Stellar Effective Temperature Unc. [K]
# COLUMN st_teffsrc:     Stellar Effective Temperature Source
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr:      Stellar Radius Unc. [Solar radii]
# COLUMN st_radsrc:      Stellar Radius Source
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr:     Stellar Mass Unc. [Solar mass]
# COLUMN st_masssrc:     Stellar Mass Source
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr:     Stellar Surface Gravity Unc. [log10(cm/s**2)]
# COLUMN st_loggsrc:     Stellar Surface Gravity Source
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr:      Stellar Age Unc. [Gyr]
# COLUMN st_agesrc:      Stellar Age Source
# COLUMN st_actclass:    Activity Class
# COLUMN st_metfe:       Stellar Metallicity [dex]
# COLUMN st_metfeerr:    Stellar Metallicity Unc. [dex]
# COLUMN st_metfesrc:    Stellar Metallicity Source
# COLUMN st_metratio:    Metallicity Ratio
# COLUMN st_probeflag:   Probe List Flag
# COLUMN st_k2flag:      K2 Flag
# COLUMN st_k2campaign:  K2 Campaign
# COLUMN st_nts:         Number of Time Series
# COLUMN st_nplc:        Number of Planet Transit Light Curves
# COLUMN st_nglc:        Number of General Light Curves
# COLUMN st_nrvc:        Number of Radial Velocity Curves
# COLUMN st_naxa:        Number of Amateur Light Curves
# COLUMN st_nimg:        Number of Images
# COLUMN st_nspec:       Number of Spectra
# COLUMN st_j2m:         J-band (2MASS) [mag]
# COLUMN st_j2merr:      J-band (2MASS) Unc. [mag]
# COLUMN st_j2mlim:      J-band (2MASS) Limit Flag
# COLUMN st_h2m:         H-band (2MASS) [mag]
# COLUMN st_h2merr:      H-band (2MASS) Unc. [mag]
# COLUMN st_h2mlim:      H-band (2MASS) Limit Flag
# COLUMN st_ks2m:        Ks-band (2MASS) [mag]
# COLUMN st_ks2merr:     Ks-band (2MASS) Unc. [mag]
# COLUMN st_ks2mlim:     Ks-band (2MASS) Limit Flag
# COLUMN st_wise1:       WISE 3.4um [mag]
# COLUMN st_wise1err:    WISE 3.4um Unc. [mag]
# COLUMN st_wise1lim:    WISE 3.4um Limit Flag
# COLUMN st_wise2:       WISE 4.6um [mag]
# COLUMN st_wise2err:    WISE 4.6um Unc. [mag]
# COLUMN st_wise2lim:    WISE 4.6um Limit Flag
# COLUMN st_wise3:       WISE 12.um [mag]
# COLUMN st_wise3err:    WISE 12.um Unc. [mag]
# COLUMN st_wise3lim:    WISE 12.um Limit Flag
# COLUMN st_wise4:       WISE 22.um [mag]
# COLUMN st_wise4err:    WISE 22.um Unc. [mag]
# COLUMN st_wise4lim:    WISE 22.um Limit Flag
#
rowid,star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,ra,decstr,dec,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_vmagsrc,st_bmv,st_bmverr,st_bmvsrc,st_spttype,st_lbol,st_lbolerr,st_lbolsrc,wds_designation,wds_sep,wds_deltamag,st_fracplxunc,st_pmra,st_pmraerr,st_pmdec,st_pmdecerr,st_glon,st_glat,st_vmk,st_vmkerr,st_kmagsrc,st_mbol,st_mbolerr,st_mbolsrc,st_mbolflag,st_spttag,st_lumclass,st_eeidau,st_eeidauerr,st_eeidmas,st_eeidmaserr,st_fpbearth,st_fpbeartherr,st_vmagearth,st_vmageartherr,st_teff,st_tefferr,st_teffsrc,st_rad,st_raderr,st_radsrc,st_mass,st_masserr,st_masssrc,st_logg,st_loggerr,st_loggsrc,st_age,st_ageerr,st_agesrc,st_actclass,st_metfe,st_metfeerr,st_metfesrc,st_metratio,st_probeflag,st_k2flag,st_k2campaign,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,st_j2m,st_j2merr,st_j2mlim,st_h2m,st_h2merr,st_h2mlim,st_ks2m,st_ks2merr,st_ks2mlim,st_wise1,st_wise1err,st_wise1lim,st_wise2,st_wise2err,st_wise2lim,st_wise3,st_wise3err,st_wise3lim,st_wise4,st_wise4err,st_wise4lim
11,HIP 2941 A,HIP 2941 A,HD 3443 A,GJ 25 A,2MASS J00372057-2446023 A,1,0,1,0,0,0,0,00h37m19.79s,9.332446,-24d46m02.0s,-24.767225,15.40,0.48,-0.45,5.570,0.000,G,0.720,0.000,G,K1V+G,1.320,0.080,V-K,00373-2446,0.60000,-0.400,0.03,1422.100,,-17.100,,68.814929,-86.046587,1.700,0.050,1991ApJ...368..264A,4.630,0.070,,1,G,MAINSEQ,1.15,,74.59,,0.00,,30.71,,5480.00,,Gray,1.27,,Turnbull,1.07,,Turnbull,4.28,,Gray,,,,I,,,,,1,0,,1,0,1,0,0,2,0,4.437,0.266,0,3.976,0.224,0,4.027,0.210,0,,,,,,,,,,,,
12,HD 3651,HIP 3093,HD 3651,GJ 27,2MASS J00392187+2115024,1,0,1,1,0,1,1,00h39m22.09s,9.842061,+21d15m04.9s,21.251374,11.06,,,5.880,0.010,G,0.850,0.010,G,K0V,0.540,0.050,V-K,00394+2115,,,0.00,-461.100,,-370.900,,119.174225,-41.532261,1.910,0.050,1966CoLPL...4...99J,5.660,0.010,,0,K,MAINSEQ,0.74,,66.62,,0.00,,30.06,,5221.00,,2005ApJS..159..141V,0.88,,2007ApJS..168..297T,0.88,,2007ApJS..168..297T,4.51,,2007ApJS..168..297T,8.200,,2005ApJS..159..141V,I,0.160,,,[Fe/H],1,0,,8,0,1,7,0,3,5,4.549,0.206,0,4.064,0.240,0,3.999,0.036,0,3.786,0.365,0,3.577,0.254,0,3.898,0.014,0,3.901,0.023,0
13,HIP 3419,HIP 3419,HD 4128,GJ 31,2MASS J00433536-1759117,1,1,0,0,0,0,0,00h43m35.23s,10.896785,-17d59m12.1s,-17.986684,29.53,,,2.020,0.020,VT-G,1.040,0.020,BVT-G-Red,K0III,151.950,0.060,V-K,,,,0.00,232.800,,32.700,,111.326620,-80.681076,2.280,0.050,Koornneef,-0.330,0.030,,0,GIANT,GIANT,12.33,,417.38,,0.00,,32.32,,4944.00,,V-K,16.79,,Turnbull,3.63,,Turnbull,,,,,,,,,,,,1,0,,1,0,1,0,0,1,0,0.370,0.198,0,-0.219,0.280,0,-0.274,0.370,0,,,,,,,,,,,,
14,HIP 3765,HIP 3765,HD 4628,GJ 33,2MASS J00482303+0516497,1,1,1,1,1,1,0,00h48m22.53s,12.093888,+05d17m00.2s,5.283389,7.45,,,5.740,0.010,G,0.890,0.010,G,K1V,0.300,0.050,V-K,00484+0517,,,0.00,758.000,,-1141.200,,121.509873,-57.579891,2.130,0.050,1968ApJ...152..465J,6.380,0.010,,0,K,MAINSEQ,0.55,,73.33,,0.00,,29.27,,4944.00,,2005ApJS..159..141V,0.76,,2007ApJS..168..297T,0.76,,2007ApJS..168..297T,4.59,,2007ApJS..168..297T,11.400,,2005ApJS..159..141V,I,-0.270,,,[Fe/H],1,0,,1,0,1,0,0,3,3,4.367,0.310,0,3.722,0.230,0,3.683,0.268,0,,,,,,,,,,,,
15,HIP 3821 A,HIP 3821 A,HD 4614,GJ 34 A,2MASS J00490622+5748545,1,1,1,1,0,1,0,00h49m05.10s,12.271253,+57d48m59.6s,57.816548,5.94,0.06,-0.06,3.450,0.020,VT,0.570,0.020,BVT-Red,G3V,1.310,0.060,V-K,00491+5749,13.20000,3.840,0.01,1087.100,,-559.600,,122.617395,-5.053680,1.480,0.050,1965CoLPL...3...73J,4.580,0.030,,0,G,MAINSEQ,1.15,,192.66,,0.00,,28.59,,5941.00,,2005ApJS..159..141V,1.05,,2007ApJS..168..297T,0.99,,2007ApJS..168..297T,4.44,,2007ApJS..168..297T,2.880,,2007ApJS..168..297T,,-0.250,,,[Fe/H],1,0,,1,0,1,0,0,2,3,2.109,0.570,0,2.086,0.504,0,1.988,9.996,0,,,,,,,,,,,,
16,HIP 3909,HIP 3909,HD 4813,GJ 37,2MASS J00500759-1038394,1,0,1,0,0,0,0,00h50m07.72s,12.532185,-10d38m37.6s,-10.643770,15.75,0.16,-0.16,5.160,0.020,VT,0.510,0.010,G,F7V,1.850,0.100,B-V,,,,0.01,-224.700,,-228.400,,121.798391,-73.512663,,,,4.180,0.030,,0,F,MAINSEQ,1.36,,86.25,,0.00,,30.67,,6250.00,,Gray,1.16,,Turnbull,1.17,,Turnbull,4.28,,Gray,,,,I,,,,,1,0,,1,0,1,0,0,2,3,4.412,0.308,0,4.012,0.280,0,4.015,0.264,0,,,,,,,,,,,,
17,HIP 4151,HIP 4151,HD 5015,GJ 41,2MASS J00530419+6107262,1,1,0,0,0,0,0,00h53m04.28s,13.267831,+61d07m24.8s,61.123557,18.74,0.19,-0.19,4.800,0.010,G,0.540,0.010,G,F8V,3.660,0.050,V-K,00531+6107,,,0.01,-68.500,,169.700,,123.129212,-1.747476,1.260,0.050,1968ApJ...152..465J,3.440,0.020,,0,F,MAINSEQ,1.91,,102.06,,0.00,,31.05,,6196.00,,V-K,1.66,,Turnbull,1.39,,Turnbull,,,,,,,,,,,,1,0,,1,0,1,0,0,3,0,3.936,0.250,0,3.681,0.222,0,3.638,0.254,0,,,,,,,,,,,,
18,HIP 5336,HIP 5336,HD 6582,GJ 53 A,2MASS J01081597+5455148 A,1,1,1,0,0,0,0,01h08m12.92s,17.053838,+54d55m27.2s,54.924228,7.55,0.08,-0.07,5.170,0.000,G,0.700,0.000,G,G5Vp,0.460,0.100,B-V,01083+5455,,,0.01,3421.400,,-1599.300,,125.363722,-7.868205,,,,5.780,0.020,,0,G,MAINSEQ,0.68,,89.54,,0.00,,29.16,,5526.00,,Gray,0.74,,Turnbull,0.82,,Turnbull,4.49,,Gray,,,,I,,,,,1,0,,1,0,1,0,0,3,0,4.031,0.284,0,3.597,0.246,0,3.505,0.344,0,,,,,,,,,,,,
19,HD 7449,HIP 5806,HD 7449,,2MASS J01142933-0502504,0,1,0,0,0,1,1,01h14m29.32s,18.622173,-05d02m50.6s,-5.047387,38.71,0.06,-0.06,7.483,0.011,,0.594,0.019,,G0 V,,,,,,,,-164.500,0.100,-134.400,0.100,137.918787,-67.246005,,,,,,,,,,,,,,,,,,6024.00,,,,,,1.05,,,4.51,,,,,,,,,,,1,0,,1,0,1,0,0,1,0,6.425,0.023,0,6.179,0.042,0,6.084,0.029,0,6.076,0.108,0,6.021,0.036,0,6.112,0.016,0,6.102,0.056,0
20,HIP 5862,HIP 5862,HD 7570,GJ 55,2MASS J01151112-4531540,1,1,1,0,0,0,0,01h15m10.57s,18.794032,-45d31m55.5s,-45.532097,15.11,,,4.960,0.020,VT,0.570,0.010,G,G0V,2.070,0.060,V-K,,,,0.00,664.500,,178.100,,290.078714,-70.999041,1.290,0.050,1990MNRAS.242....1C,4.060,0.020,,0,G,MAINSEQ,1.44,,95.08,,0.00,,30.59,,6116.00,,2005ApJS..159..141V,1.25,,2007ApJS..168..297T,1.17,,2007ApJS..168..297T,4.35,,2007ApJS..168..297T,2.880,,2007ApJS..168..297T,I,0.160,,,[Fe/H],1,0,,1,0,1,0,0,2,1,4.094,0.346,0,3.719,0.268,0,3.782,0.268,0,,,,,,,,,,,,
21,HIP 6537,HIP 6537,HD 8512,,2MASS J01240142-0810596,0,1,0,0,0,0,0,01h24m01.40s,21.005854,-08d10m59.7s,-8.183256,35.11,0.92,-0.98,3.590,,,1.060,,,K0 III,,,,01240-0811,65.40000,11.200,,-78.380,0.740,-206.880,0.480,146.593359,-69.544128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,1,0,1,0,0,1,0,1.896,0.348,0,1.401,0.276,0,1.289,0.300,0,,,,,,,,,,,,
22,HIP 6686,HIP 6686,HD 8538,GJ 58.1,2MASS J01254889+6014070,0,1,0,0,0,0,0,01h25m48.95s,21.453968,+60d14m07.0s,60.235283,30.48,0.56,-0.59,2.680,,,0.130,,,A5 IV,,,,01258+6014,131.70000,8.820,,297.240,0.480,-49.490,0.410,127.190091,-2.351844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,1,0,1,0,0,1,0,2.336,0.256,0,2.367,0.186,0,2.245,0.282,0,,,,,,,,,,,,
23,ups And,HIP 7513,HD 9826,GJ 61 A,2MASS J01364784+4124200,1,1,1,0,1,1,3,01h36m47.98s,24.199904,+41d24m23.0s,41.406385,13.49,,,4.090,0.020,VT,0.540,0.010,G,F8V,3.640,0.060,V-K,01368+4124,,,0.00,-172.600,,-381.000,,132.001162,-20.665103,1.240,0.050,1965CoLPL...3...73J,3.440,0.020,,0,F,MAINSEQ,1.91,,141.34,,0.00,,30.33,,6213.00,,2005ApJS..159..141V,1.64,,2007ApJS..168..297T,1.31,,2007ApJS..168..297T,4.16,,2007ApJS..168..297T,3.120,,2007ApJS..168..297T,,0.150,,,[Fe/H],1,0,,8,0,1,7,0,2,1,3.175,0.210,0,2.957,0.178,0,2.859,0.274,0,1.816,,-1,1.709,,-1,2.853,0.013,0,2.816,0.022,0
24,HIP 7751 B,HIP 7751 B,HD 10360,GJ 66 B,2MASS J01394755-5611471,1,0,1,0,0,0,0,01h39m47.24s,24.946846,-56d11m47.2s,-56.196441,7.82,0.16,-0.15,5.680,0.020,VT,0.860,0.020,BVT-G-Red,K0/4,0.340,0.110,B-V,01398-5612,11.60000,0.120,0.02,286.100,,16.700,,289.596469,-59.662341,,,,6.220,0.060,,0,K,MAINSEQ,0.58,,74.55,,0.00,,29.36,,5016.00,,2005ApJS..159..141V,0.71,,2007ApJS..168..297T,0.75,,2007ApJS..168..297T,4.64,,2007ApJS..168..297T,5.500,,2005ApJS..159..141V,I,-0.230,,,[Fe/H],1,0,,1,0,1,0,0,2,1,4.043,0.378,0,6.742,,-1,3.510,0.282,0,,,,,,,,,,,,
25,HIP 7918,HIP 7918,HD 10307,GJ 67,2MASS J01414714+4236483,1,1,1,1,0,0,0,01h41m46.52s,25.443815,+42d36m49.7s,42.613807,12.74,0.13,-0.13,4.960,0.000,G,0.620,0.000,G,G2V,1.490,0.050,V-K,01418+4237,,,0.01,791.400,,-180.200,,132.713367,-19.299806,1.390,0.050,1965CoLPL...3...73J,4.430,0.020,,0,G,MAINSEQ,1.22,,95.75,,0.00,,30.23,,5874.00,,Gray,1.18,,Turnbull,1.11,,Turnbull,4.35,,Gray,,,,I,,,,,1,0,,1,0,1,0,0,2,0,4.000,0.262,0,3.703,0.226,0,3.577,0.314,0,,,,,,,,,,,,
26,HD 10647,HIP 7978,HD 10647,GJ 3109,2MASS J01422932-5344271,1,0,1,0,0,1,1,01h42m29.15s,25.621463,-53d44m26.1s,-53.740575,17.43,,,5.520,0.020,VT,0.530,0.020,BVT-Red,F8V,1.640,0.100,B-V,,,,0.00,167.000,,-106.700,,286.897916,-61.769730,,,,4.310,0.030,,0,F,MAINSEQ,1.28,,73.52,,0.00,,30.90,,6105.00,,2005ApJS..159..141V,1.14,,2007ApJS..168..297T,1.10,,2007ApJS..168..297T,4.39,,2007ApJS..168..297T,2.920,,2007ApJS..168..297T,A,-0.080,,,[Fe/H],1,0,,2,0,1,1,0,2,1,4.791,0.226,0,4.399,0.234,0,4.340,0.276,0,4.171,0.377,0,3.913,0.222,0,4.220,0.014,0,3.954,0.021,0
27,HIP 7981,HIP 7981,HD 10476,GJ 68,2MASS J01422977+2016073,1,1,1,1,1,1,0,01h42m29.95s,25.624791,+20d16m12.5s,20.270151,7.53,,,5.240,0.010,G,0.840,0.010,G,K1V,0.470,0.050,V-K,01425+2016,,,0.00,-302.100,,-677.400,,138.876366,-41.015321,2.030,0.050,1968ApJ...152..465J,5.860,0.010,,0,K,MAINSEQ,0.68,,90.94,,0.00,,29.26,,5181.00,,2005ApJS..159..141V,0.82,,2007ApJS..168..297T,0.82,,2007ApJS..168..297T,4.54,,2007ApJS..168..297T,8.700,,2005ApJS..159..141V,I,-0.040,,,[Fe/H],1,0,,1,0,1,0,0,2,5,3.855,0.240,0,3.391,0.226,0,3.285,0.266,0,,,,,,,,,,,,
28,tau Cet,HIP 8102,HD 10700,GJ 71,2MASS J01440402-1556141,1,1,1,1,1,1,4,01h44m05.13s,26.021364,-15d56m22.4s,-15.939556,3.65,,,3.490,0.000,G,0.730,0.010,G,G8.5V,0.520,0.050,V-K,01441-1556,,,0.00,-1721.800,,854.100,,173.116266,-73.438232,1.810,0.050,Kidger,5.680,0.010,,0,G,MAINSEQ,0.72,,197.39,,0.00,,27.62,,5283.00,,2005ApJS..159..141V,0.83,,2007ApJS..168..297T,0.80,,2007ApJS..168..297T,4.52,,2007ApJS..168..297T,,,,I,-0.520,,,[Fe/H],1,0,,1,0,1,0,0,2,10,2.149,0.310,0,1.800,0.234,0,1.794,0.274,0,,,,,,,,,,,,
29,HIP 8362,HIP 8362,HD 10780,GJ 75,2MASS J01474488+6351090,1,0,1,0,1,1,0,01h47m44.06s,26.933601,+63d51m11.2s,63.853101,10.07,0.10,-0.10,5.630,0.010,G,0.800,0.010,G,K0V,0.550,0.050,V-K,01477+6351,,,0.01,582.000,,-246.800,,129.086236,1.656169,1.790,0.050,1989A&A...215..305A,5.620,0.020,,0,K,MAINSEQ,0.74,,73.52,,0.00,,29.82,,5327.00,,2005ApJS..159..141V,0.85,,2007ApJS..168..297T,0.85,,2007ApJS..168..297T,4.52,,2007ApJS..168..297T,10.120,,2007ApJS..168..297T,I,0.030,,,[Fe/H],1,0,,1,0,1,0,0,5,1,4.596,0.238,0,4.133,0.200,0,4.014,0.262,0,,,,,,,,,,,,
30,HIP 8497,HIP 8497,HD 11171,GJ 9061 A,2MASS J01493510-1041110,1,1,0,0,0,0,0,01h49m35.19s,27.396630,-10d41m10.3s,-10.686181,23.19,0.23,-0.23,4.650,0.020,VT,0.330,0.000,G,F0V,6.090,0.060,V-K,01496-1041,,,0.01,-148.900,,-94.500,,165.482449,-68.608157,0.760,0.050,1987ApJ...320..364E,2.830,0.030,,0,F,MAINSEQ,2.47,,106.45,,0.00,,31.46,,7087.00,,Gray,1.64,,Turnbull,1.59,,Turnbull,4.10,,Gray,,,,,,,,,1,0,,1,0,1,0,0,2,0,3.656,0.202,0,3.470,0.180,0,3.872,0.036,0,,,,,,,,,,,,
31,HIP 8796,HIP 8796,HD 11443,GJ 78.1,2MASS J01530489+2934442,1,1,0,0,0,0,0,01h53m04.90s,28.270416,+29d34m45.8s,29.579397,19.42,,,3.420,0.010,G,0.490,0.010,G,F6IV,13.850,0.050,V-K,01531+2935,,,0.00,12.000,,-233.700,,138.642228,-31.404798,1.180,0.050,1966CoLPL...4...99J,1.980,0.020,,0,F,MAINSEQ,3.72,,191.65,,0.00,,31.12,,6273.00,,Gray,3.15,,Turnbull,1.96,,Turnbull,3.57,,Gray,,,,,,,,,1,0,,1,0,1,0,0,2,0,2.406,0.236,0,2.182,0.206,0,2.274,0.266,0,,,,,,,,,,,,
32,HIP 8903,HIP 8903,HD 11636,GJ 80,2MASS J01543840+2048291,1,1,0,0,0,0,0,01h54m38.35s,28.659788,+20d48m29.9s,20.808299,17.99,0.18,-0.18,2.630,0.020,VT,0.160,0.020,BVT-Blue,A5V...,24.760,0.070,V-K,01546+2049,,,0.01,96.300,,-108.800,,142.244542,-39.681485,0.260,0.050,1966CoLPL...4...99J,1.360,0.040,,0,A,MAINSEQ,4.98,,276.68,,0.00,,30.96,,8300.00,,Gray,2.40,,Turnbull,2.28,,Turnbull,4.10,,Gray,,,,,,,,,1,0,,1,0,1,0,0,2,0,2.340,0.232,0,2.351,0.164,0,2.270,0.242,0,,,,,,,,,,,,
33,HIP 9007,HIP 9007,HD 11937,GJ 81 A,2MASS J01555745-5136319 A,1,1,0,0,0,0,0,01h55m56.83s,28.986802,-51d36m34.5s,-51.609587,17.85,0.18,-0.18,3.690,0.010,G,0.840,0.020,G,G8IIIBCNIV,10.950,0.100,B-V,01560-5137,,,0.01,681.200,,284.200,,280.865762,-62.666039,,,,2.430,0.030,,0,GIANT,GIANT,3.31,,185.40,,0.00,,31.13,,5182.00,,B-V,4.10,,Turnbull,1.85,,Turnbull,,,,,,,I,,,,,1,0,,1,0,1,0,0,2,0,2.277,0.308,0,1.887,0.276,0,1.730,0.292,0,,,,,,,,,,,,
34,HIP 9236,HIP 9236,HD 12311,GJ 83,2MASS J01584623-6134113,1,1,0,0,0,0,0,01h58m45.87s,29.691133,-61d34m11.7s,-61.569924,22.01,0.22,-0.22,2.860,0.010,G,0.290,0.010,G,F0V,28.750,0.060,V-K,,,,0.01,262.500,,26.900,,289.446743,-53.760159,0.810,0.050,Koornneef,1.150,0.030,,0,F,MAINSEQ,5.36,,243.58,,0.00,,31.35,,7201.00,,Gray,3.44,,Turnbull,2.37,,Turnbull,3.37,,Gray,,,,,,,,,1,0,,1,0,1,0,0,2,0,2.124,0.314,0,1.927,0.208,0,1.861,0.252,0,,,,,,,,,,,,
35,alf Ari,HIP 9884,HD 12929,GJ 84.3,2MASS J02071038+2327447,1,1,0,0,0,1,1,02h07m10.29s,31.792858,+23d27m46.0s,23.462777,20.18,0.20,-0.20,2.010,0.000,G,1.150,0.010,G,K2III,85.890,0.050,V-K,,,,0.01,190.700,,-145.800,,144.577740,-36.205318,2.650,0.050,1966CoLPL...4...99J,0.490,0.020,,0,GIANT,GIANT,9.27,,459.30,,0.00,,31.69,,4504.00,,Gray,15.21,,Turnbull,3.13,,Turnbull,2.20,,Gray,,,,,,,,,1,0,,2,0,1,1,0,2,0,-0.196,0.218,0,-0.749,0.156,0,-0.783,0.176,0,-0.620,,-1,1.645,,-1,-0.467,0.326,0,-0.701,0.010,0
36,GJ 86,HIP 10138,HD 13445,GJ 86,2MASS J02102587-5049258,1,0,1,0,0,1,1,02h10m24.00s,32.600007,-50d49m31.1s,-50.825315,10.78,,,6.120,0.010,G,0.810,0.020,G,K1V,0.420,0.100,B-V,02104-5049,,,0.00,2092.800,,654.300,,275.936774,-61.962899,,,,5.960,0.020,,0,K,MAINSEQ,0.65,,59.89,,0.00,,30.01,,5151.00,,2005ApJS..159..141V,0.80,,2007ApJS..168..297T,0.80,,2007ApJS..168..297T,4.54,,2007ApJS..168..297T,11.300,,2005ApJS..159..141V,I,-0.270,,,[Fe/H],1,0,,4,0,1,3,0,2,0,4.785,0.248,0,4.245,0.280,0,4.125,0.036,0,4.060,0.457,0,3.783,0.248,0,4.022,0.025,0,4.081,0.024,0
37,HD 13931,HIP 10626,HD 13931,,2MASS J02164736+4346230,0,0,1,0,0,1,1,02h16m47.38s,34.197414,+43d46m22.8s,43.772995,47.46,0.14,-0.14,7.597,0.011,,0.642,0.019,,G0,,,,,,,,98.800,0.100,-183.600,0.100,138.831694,-16.447877,,,,,,,,,,,,,,,,,,5867.00,25.00,,1.25,0.02,,1.30,0.13,,4.36,0.04,,,,,,0.050,,,[Fe/H],1,0,,1,0,1,0,0,1,2,6.452,0.020,0,6.234,0.065,0,6.139,0.029,0,6.045,0.121,0,6.026,0.037,0,6.126,0.015,0,6.123,0.051,0
38,HIP 10644,HIP 10644,HD 13974,GJ 92,2MASS J02170303+3413278,1,1,1,0,0,0,0,02h17m02.42s,34.260073,+34d13m29.4s,34.224830,10.78,,,4.860,0.020,VT,0.610,0.010,G,G0V,1.210,0.060,V-K,02171+3413,,,0.00,1151.600,,-246.300,,142.440050,-25.383355,1.620,0.050,Kidger,4.700,0.030,,0,G,MAINSEQ,1.10,,102.14,,0.00,,29.92,,5667.00,,V-K,1.14,,Turnbull,1.05,,Turnbull,,,,,,,,,,,,1,0,,1,0,1,0,0,3,1,3.525,0.246,0,3.287,0.206,0,3.076,0.276,0,,,,,,,,,,,,
39,HIP 10670,HIP 10670,HD 14055,,2MASS J02171888+3350500,0,1,0,0,0,0,0,02h17m18.87s,34.328613,+33d50m49.9s,33.847195,36.06,1.06,-1.13,4.010,,,0.020,,,A0,,,,,,,,44.800,0.700,-53.000,0.700,142.649662,-25.715124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,1,0,1,0,0,1,0,3.802,0.268,0,3.862,0.228,0,3.958,0.026,0,,,,,,,,,,,,
